experiment,policy,category,training_seed,evaluation_seed,episode,max_cycles_per_episode,max_episode_steps,success,failure,completed_cycles,at_least_one_cycle,at_least_two_cycles,at_least_three_cycles,task_return,environment_return,episode_length,dfa_transitions,reached_dfa_states,env_terminated,env_truncated,stopped_at_cycle_cap
prova_atterraggio,best_policy.pth,best,,,1,3,gym_default,1,0,0,0,0,0,10000.0,219.03311363959986,516,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,2,3,gym_default,0,0,0,0,0,0,0.0,-99.01560062507232,195,0,1,1,0,0
prova_atterraggio,best_policy.pth,best,,,3,3,gym_default,0,0,0,0,0,0,0.0,-622.9663010758679,240,1,1|2,1,0,0
prova_atterraggio,best_policy.pth,best,,,4,3,gym_default,1,0,0,0,0,0,10000.0,234.8785876228643,366,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,5,3,gym_default,1,0,0,0,0,0,10000.0,257.17105327407376,469,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,6,3,gym_default,1,0,0,0,0,0,10000.0,254.2824847962925,423,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,7,3,gym_default,1,0,0,0,0,0,10000.0,237.7484930979197,409,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,8,3,gym_default,1,0,0,0,0,0,10000.0,235.85974464047,505,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,9,3,gym_default,0,0,0,0,0,0,0.0,-545.505127831156,416,0,1,1,0,0
prova_atterraggio,best_policy.pth,best,,,10,3,gym_default,1,0,0,0,0,0,10000.0,253.57496172252328,474,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,11,3,gym_default,0,0,0,0,0,0,0.0,-615.8933210081736,339,1,1|2,1,0,0
prova_atterraggio,best_policy.pth,best,,,12,3,gym_default,1,0,0,0,0,0,10000.0,265.98686221336243,320,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,13,3,gym_default,1,0,0,0,0,0,10000.0,262.43768657206454,316,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,14,3,gym_default,1,0,0,0,0,0,10000.0,246.7793052502817,344,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,15,3,gym_default,1,0,0,0,0,0,10000.0,225.1318529217971,332,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,16,3,gym_default,1,0,0,0,0,0,10000.0,220.7047993767064,325,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,17,3,gym_default,0,0,0,0,0,0,0.0,-564.7161669586646,298,0,1,1,0,0
prova_atterraggio,best_policy.pth,best,,,18,3,gym_default,1,0,0,0,0,0,10000.0,268.13061829966523,418,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,19,3,gym_default,1,0,0,0,0,0,10000.0,226.93896901063567,567,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,20,3,gym_default,1,0,0,0,0,0,10000.0,260.96057458129565,321,3,1|2|3|4,1,0,0
prova_atterraggio,best_policy.pth,best,,,21,3,gym_default,0,0,0,0,0,0,0.0,-365.6731177070191,669,1,1|2,1,0,0
