experiment,policy,category,training_seed,evaluation_seed,evaluation_episodes,successes,failures,is_continuing,max_cycles_per_episode,max_episode_steps,success_rate,failure_rate,mean_completed_cycles,std_completed_cycles,zero_cycles_rate,exactly_one_cycle_rate,exactly_two_cycles_rate,three_cycles_rate,at_least_one_cycle_rate,at_least_two_cycles_rate,at_least_three_cycles_rate,mean_task_return,std_task_return,mean_environment_return,std_environment_return,mean_episode_length,std_episode_length,mean_dfa_transitions,std_dfa_transitions,terminated_rate,truncated_rate,cycle_cap_rate
safe_zone_48x48_baseline,best_policy_seed_42.pth,best,42,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-527.6720631987866,210.5589257739035,67.919,15.896113959078177,0.0,0.0,1.0,0.0,0.0
safe_zone_48x48_baseline,best_policy_seed_43.pth,best,43,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-445.92541921626054,142.89291052430733,67.914,15.90322621357063,0.0,0.0,1.0,0.0,0.0
safe_zone_48x48_baseline,best_policy_seed_44.pth,best,44,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-128.3930635911857,108.91611426410041,91.715,60.243587003099336,0.0,0.0,0.999,0.001,0.0
safe_zone_48x48_baseline,best_policy_seed_45.pth,best,45,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-583.8193075279554,168.26257526702744,67.605,16.080453196349907,0.0,0.0,1.0,0.0,0.0
safe_zone_48x48_baseline,best_policy_seed_46.pth,best,46,200000,1000,0,11,0,3,gym_default,0.0,0.011,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-490.9202821787867,172.5729410247831,414.863,249.69219897906302,0.165,0.5863232896619407,0.958,0.031,0.0
safe_zone_48x48_baseline,best_policy_seed_47.pth,best,47,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-583.8180910136867,168.2633603743578,67.605,16.080453196349907,0.0,0.0,1.0,0.0,0.0
safe_zone_48x48_baseline,best_policy_seed_48.pth,best,48,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-657.6293909337171,775.9152684831091,738.339,333.35054234094173,0.034,0.2807917377701844,0.433,0.567,0.0
safe_zone_48x48_baseline,best_policy_seed_49.pth,best,49,200000,1000,10,194,0,3,gym_default,0.01,0.194,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,994.98743710662,-166.4642772220393,162.49767250051286,408.078,157.86517638795453,1.407,1.970114463679712,0.779,0.017,0.0
safe_zone_48x48_baseline,best_policy_seed_50.pth,best,50,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-543.3297933213514,109.74490308590399,65.036,10.062937145784028,0.0,0.0,1.0,0.0,0.0
safe_zone_48x48_baseline,best_policy_seed_51.pth,best,51,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-583.9424999716271,170.72566380640103,67.56,14.19163133681255,0.0,0.0,1.0,0.0,0.0
safe_zone_48x48_baseline,last_policy_seed_42.pth,last,42,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-575.1913446319885,254.3770516044747,86.707,45.381462636191,0.012,0.1544538766104626,1.0,0.0,0.0
safe_zone_48x48_baseline,last_policy_seed_43.pth,last,43,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-892.3901961774957,632.7039337898925,131.782,62.91882449633019,0.0,0.0,1.0,0.0,0.0
safe_zone_48x48_baseline,last_policy_seed_44.pth,last,44,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1335.43793782519,80.00599982869839,383.0,110.70692841913734,0.0,0.0,1.0,0.0,0.0
safe_zone_48x48_baseline,last_policy_seed_45.pth,last,45,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-907.7566719145526,679.3441776659711,127.516,62.14412075168495,0.0,0.0,1.0,0.0,0.0
safe_zone_48x48_baseline,last_policy_seed_46.pth,last,46,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-608.1102594944479,255.37292185341562,211.673,84.09944156176068,0.001,0.03160696125855822,1.0,0.0,0.0
safe_zone_48x48_baseline,last_policy_seed_47.pth,last,47,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-130.32481390051046,40.313052758244666,70.156,12.473157739722527,0.0,0.0,1.0,0.0,0.0
safe_zone_48x48_baseline,last_policy_seed_48.pth,last,48,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-130.81065758920846,40.507674198358,70.165,12.49022717967932,0.0,0.0,1.0,0.0,0.0
safe_zone_48x48_baseline,last_policy_seed_49.pth,last,49,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-710.7843706788767,184.78575116131412,245.094,65.71621690267936,0.002,0.06321392251711644,1.0,0.0,0.0
safe_zone_48x48_baseline,last_policy_seed_50.pth,last,50,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1030.4013625372413,1324.1470282928103,136.969,93.56262094982162,0.006,0.10938007131100255,1.0,0.0,0.0
safe_zone_48x48_baseline,last_policy_seed_51.pth,last,51,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-282.0900669880344,133.56120692284253,96.507,36.067907494059035,0.0,0.0,0.999,0.001,0.0
