experiment,policy,category,training_seed,evaluation_seed,evaluation_episodes,successes,failures,is_continuing,max_cycles_per_episode,max_episode_steps,success_rate,failure_rate,mean_completed_cycles,std_completed_cycles,zero_cycles_rate,exactly_one_cycle_rate,exactly_two_cycles_rate,three_cycles_rate,at_least_one_cycle_rate,at_least_two_cycles_rate,at_least_three_cycles_rate,mean_task_return,std_task_return,mean_environment_return,std_environment_return,mean_episode_length,std_episode_length,mean_dfa_transitions,std_dfa_transitions,terminated_rate,truncated_rate,cycle_cap_rate
safe_zone_48x48_shaped,best_policy_seed_42.pth,best,42,200000,1000,998,0,0,3,gym_default,0.998,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9980.0,446.7661580737735,-102.51431569750083,37.866263099239895,303.23,36.508698963397755,5.988,0.2680596948442641,0.002,0.0,0.0
safe_zone_48x48_shaped,best_policy_seed_43.pth,best,43,200000,1000,989,1,0,3,gym_default,0.989,0.001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9890.0,1043.0244484191155,-118.57262879514496,28.64141125028889,339.187,94.46181255406864,5.929,0.5234109284300433,0.002,0.008,0.0
safe_zone_48x48_shaped,best_policy_seed_44.pth,best,44,200000,1000,993,0,0,3,gym_default,0.993,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9930.0,833.7265738837883,-114.53520979986814,29.34155435279368,300.06,32.28455358216991,5.959,0.4892024120954433,0.007,0.0,0.0
safe_zone_48x48_shaped,best_policy_seed_45.pth,best,45,200000,1000,984,0,0,3,gym_default,0.984,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9840.0,1254.7509713086497,-125.07916369143652,29.750498580164564,307.519,47.080671607359214,5.92,0.6273754856543248,0.016,0.0,0.0
safe_zone_48x48_shaped,best_policy_seed_46.pth,best,46,200000,1000,985,0,0,3,gym_default,0.985,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9850.0,1215.524578114322,-137.1992493812086,30.7480293609481,316.81,36.877471442603,5.92,0.6508456038109192,0.015,0.0,0.0
safe_zone_48x48_shaped,best_policy_seed_47.pth,best,47,200000,1000,982,0,0,3,gym_default,0.982,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9820.0,1329.5111883696204,-147.1989348918072,50.732673872823916,284.91,37.97177767763843,5.895,0.7771582850359382,0.018,0.0,0.0
safe_zone_48x48_shaped,best_policy_seed_48.pth,best,48,200000,1000,998,0,0,3,gym_default,0.998,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9980.0,446.7661580737735,-134.09930899456162,35.93624863042184,362.192,57.28374233584953,5.988,0.26805969484426406,0.002,0.0,0.0
safe_zone_48x48_shaped,best_policy_seed_49.pth,best,49,200000,1000,997,0,0,3,gym_default,0.997,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9970.0,546.9003565550126,-119.65481285908572,25.39469289451907,380.315,41.49937077836241,5.987,0.246639412908805,0.003,0.0,0.0
safe_zone_48x48_shaped,best_policy_seed_50.pth,best,50,200000,1000,986,2,0,3,gym_default,0.986,0.002,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9860.0,1174.9042514179614,-117.15828149700388,43.23018325629685,317.177,33.827942163247236,5.929,0.26449763704048473,0.012,0.0,0.0
safe_zone_48x48_shaped,best_policy_seed_51.pth,best,51,200000,1000,956,0,0,3,gym_default,0.956,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9560.0,2050.950998927083,-123.32688329116941,231.90838745266072,372.465,117.9230883881524,5.745,1.201655108589815,0.021,0.023,0.0
safe_zone_48x48_shaped,last_policy_seed_42.pth,last,42,200000,1000,952,2,0,3,gym_default,0.952,0.002,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9520.0,2137.662274541982,-140.87881740866692,51.81269772174674,290.336,39.980484039090875,5.776,1.0582173689748247,0.046,0.0,0.0
safe_zone_48x48_shaped,last_policy_seed_43.pth,last,43,200000,1000,947,0,0,3,gym_default,0.947,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9470.0,2240.3347964087866,-153.6220729186821,41.86420264690174,327.974,101.9552908092562,5.767,1.1129739439897053,0.052,0.001,0.0
safe_zone_48x48_shaped,last_policy_seed_44.pth,last,44,200000,1000,832,15,0,3,gym_default,0.832,0.015,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8320.0,3738.662862575335,-199.7924476512013,218.30278934912198,280.076,65.09585412297776,5.146,2.015113892562899,0.152,0.001,0.0
safe_zone_48x48_shaped,last_policy_seed_45.pth,last,45,200000,1000,862,13,0,3,gym_default,0.862,0.013,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8620.0,3448.9998550304404,-236.0987289769873,249.34626807552442,284.41,79.46641995207787,5.249,1.906567334242355,0.125,0.0,0.0
safe_zone_48x48_shaped,last_policy_seed_46.pth,last,46,200000,1000,914,0,0,3,gym_default,0.914,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9140.0,2803.6404905051577,-158.96168467477696,43.69646111547891,278.27,46.36370455431705,5.525,1.5910295408948258,0.086,0.0,0.0
safe_zone_48x48_shaped,last_policy_seed_47.pth,last,47,200000,1000,451,322,0,3,gym_default,0.451,0.322,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4510.0,4975.932073491357,-219.73901495503708,156.32731891033484,298.718,126.03144241021761,3.782,2.1204895661143914,0.212,0.015,0.0
safe_zone_48x48_shaped,last_policy_seed_48.pth,last,48,200000,1000,943,1,0,3,gym_default,0.943,0.001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9430.0,2318.426190328258,-156.58533197548286,79.11005533681714,277.977,40.8900289924084,5.68,1.34074606096755,0.056,0.0,0.0
safe_zone_48x48_shaped,last_policy_seed_49.pth,last,49,200000,1000,927,0,0,3,gym_default,0.927,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9270.0,2601.365026289083,-155.57245917670616,150.91182100392535,307.302,56.53442133780092,5.584,1.5076286014798208,0.073,0.0,0.0
safe_zone_48x48_shaped,last_policy_seed_50.pth,last,50,200000,1000,574,80,0,3,gym_default,0.574,0.08,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5740.0,4944.936804449578,-162.2806337024167,93.86396943323103,303.269,93.03064354824167,5.075,1.6153559979150105,0.347,0.0,0.0
safe_zone_48x48_shaped,last_policy_seed_51.pth,last,51,200000,1000,668,28,0,3,gym_default,0.668,0.028,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6680.0,4709.3099282166595,-166.86461438873968,99.73024195822462,263.976,68.75921337537247,4.528,2.386465168402841,0.304,0.0,0.0
