experiment,policy,category,training_seed,evaluation_seed,evaluation_episodes,successes,failures,is_continuing,max_cycles_per_episode,max_episode_steps,success_rate,failure_rate,mean_completed_cycles,std_completed_cycles,zero_cycles_rate,exactly_one_cycle_rate,exactly_two_cycles_rate,three_cycles_rate,at_least_one_cycle_rate,at_least_two_cycles_rate,at_least_three_cycles_rate,mean_task_return,std_task_return,mean_environment_return,std_environment_return,mean_episode_length,std_episode_length,mean_dfa_transitions,std_dfa_transitions,terminated_rate,truncated_rate,cycle_cap_rate
traj2_classic_landing_approach,best_policy_seed_42.pth,best,42,200000,1000,909,0,0,3,gym_default,0.909,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9090.0,2876.091097305508,190.2347789204697,69.85065282938668,621.051,149.7103216181169,4.877,0.4689040413560113,0.947,0.053,0.0
traj2_classic_landing_approach,best_policy_seed_43.pth,best,43,200000,1000,897,0,0,3,gym_default,0.897,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8970.0,3039.5887879777424,164.11850858730747,122.06850407330474,641.979,101.0883304788441,4.795,0.6862761834713484,0.989,0.011,0.0
traj2_classic_landing_approach,best_policy_seed_44.pth,best,44,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-760.2545903761616,152.7885090310726,124.811,29.023564202213343,0.0,0.0,1.0,0.0,0.0
traj2_classic_landing_approach,best_policy_seed_45.pth,best,45,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-314.8329052633269,32.646565188006846,146.359,34.42127422103952,0.0,0.0,1.0,0.0,0.0
traj2_classic_landing_approach,best_policy_seed_46.pth,best,46,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-393.8806129351966,35.34284986634135,105.971,17.620957947852894,0.01,0.09949874371066199,1.0,0.0,0.0
traj2_classic_landing_approach,best_policy_seed_47.pth,best,47,200000,1000,956,0,0,3,gym_default,0.956,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9560.0,2050.950998927083,215.26137208987674,63.58207110278377,490.953,67.59238707872359,4.919,0.4630755877823835,0.994,0.006,0.0
traj2_classic_landing_approach,best_policy_seed_48.pth,best,48,200000,1000,910,0,0,3,gym_default,0.91,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9100.0,2861.817604250837,174.67310305427318,152.98689449403588,508.872,135.01867136066772,4.6,1.3137731919931994,0.98,0.02,0.0
traj2_classic_landing_approach,best_policy_seed_49.pth,best,49,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-461.1235199348802,71.78039380322625,144.426,55.556966475861515,0.069,0.25345413786324344,1.0,0.0,0.0
traj2_classic_landing_approach,best_policy_seed_50.pth,best,50,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-595.6591574690516,73.56181321862404,102.43,40.97786109596254,0.055,0.22798026230356,1.0,0.0,0.0
traj2_classic_landing_approach,best_policy_seed_51.pth,best,51,200000,1000,313,0,0,3,gym_default,0.313,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3130.0,4637.1435172959655,-155.8609910192119,336.92979664589944,253.854,196.30551363627055,1.826,2.3168349099579797,1.0,0.0,0.0
