experiment,policy,category,training_seed,evaluation_seed,evaluation_episodes,successes,failures,is_continuing,max_cycles_per_episode,max_episode_steps,success_rate,failure_rate,mean_completed_cycles,std_completed_cycles,zero_cycles_rate,exactly_one_cycle_rate,exactly_two_cycles_rate,three_cycles_rate,at_least_one_cycle_rate,at_least_two_cycles_rate,at_least_three_cycles_rate,mean_task_return,std_task_return,mean_environment_return,std_environment_return,mean_episode_length,std_episode_length,mean_dfa_transitions,std_dfa_transitions,terminated_rate,truncated_rate,cycle_cap_rate
traj2_classic_landing_approach_baseline,best_policy_seed_42.pth,best,42,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-466.74667679010673,108.85868694315155,69.866,21.515483819798245,0.003,0.054690035655501276,1.0,0.0,0.0
traj2_classic_landing_approach_baseline,best_policy_seed_43.pth,best,43,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-315.8153741186546,131.6688036066125,102.326,25.635009732785356,0.03,0.1705872210923198,1.0,0.0,0.0
traj2_classic_landing_approach_baseline,best_policy_seed_44.pth,best,44,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-666.8090339528209,255.31034316915967,122.431,33.23334528752711,0.0,0.0,1.0,0.0,0.0
traj2_classic_landing_approach_baseline,best_policy_seed_45.pth,best,45,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-511.2201555424539,86.91462083554299,81.556,25.007296215304844,0.0,0.0,1.0,0.0,0.0
traj2_classic_landing_approach_baseline,best_policy_seed_46.pth,best,46,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-515.5905604081892,149.74878318946477,111.924,33.49952572798606,0.018,0.132951118836962,1.0,0.0,0.0
traj2_classic_landing_approach_baseline,best_policy_seed_47.pth,best,47,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-313.32745441309635,60.672433635049636,70.745,11.804574325235112,0.0,0.0,1.0,0.0,0.0
traj2_classic_landing_approach_baseline,best_policy_seed_48.pth,best,48,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.8352586993653,25.21983240804999,69.823,12.196707383552335,0.0,0.0,1.0,0.0,0.0
traj2_classic_landing_approach_baseline,best_policy_seed_49.pth,best,49,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-856.9992393782351,286.23290477338605,130.08,47.60850344213731,0.015,0.12155245781143219,1.0,0.0,0.0
traj2_classic_landing_approach_baseline,best_policy_seed_50.pth,best,50,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-535.6916429275473,152.22616810813204,67.151,13.798267971017232,0.0,0.0,1.0,0.0,0.0
traj2_classic_landing_approach_baseline,best_policy_seed_51.pth,best,51,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-583.8193075279554,168.26257526702744,67.605,16.080453196349907,0.0,0.0,1.0,0.0,0.0
traj2_classic_landing_approach_baseline,last_policy_seed_42.pth,last,42,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-311.2894886525025,37.09697278265755,71.421,15.828826835871318,0.0,0.0,1.0,0.0,0.0
