experiment,policy,category,training_seed,evaluation_seed,evaluation_episodes,successes,failures,is_continuing,max_cycles_per_episode,max_episode_steps,success_rate,failure_rate,mean_completed_cycles,std_completed_cycles,zero_cycles_rate,exactly_one_cycle_rate,exactly_two_cycles_rate,three_cycles_rate,at_least_one_cycle_rate,at_least_two_cycles_rate,at_least_three_cycles_rate,mean_task_return,std_task_return,mean_environment_return,std_environment_return,mean_episode_length,std_episode_length,mean_dfa_transitions,std_dfa_transitions,terminated_rate,truncated_rate,cycle_cap_rate
traj2_landing_baseline,best_policy_seed_42.pth,best,42,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-576.2698419882427,141.5282705158621,71.309,15.497790778043171,0.266,0.4441216049687292,1.0,0.0,0.0
traj2_landing_baseline,best_policy_seed_43.pth,best,43,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-700.4475861759543,391.9059288252716,92.51,52.385378685278205,0.114,0.317811264746862,1.0,0.0,0.0
traj2_landing_baseline,best_policy_seed_44.pth,best,44,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-583.8193075279554,168.26257526702744,67.605,16.080453196349907,0.305,0.460407428263272,1.0,0.0,0.0
traj2_landing_baseline,best_policy_seed_45.pth,best,45,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-377.3431551875371,96.45990313991342,71.816,20.782111153585912,0.296,0.4564909637659874,1.0,0.0,0.0
traj2_landing_baseline,best_policy_seed_46.pth,best,46,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-492.5888133644149,73.16918784305282,79.156,17.475401683509308,0.186,0.38910666917954523,1.0,0.0,0.0
traj2_landing_baseline,best_policy_seed_47.pth,best,47,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-486.8836512816404,73.89479901208658,85.495,31.49580884816264,0.221,0.41492047430802925,1.0,0.0,0.0
traj2_landing_baseline,best_policy_seed_48.pth,best,48,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-741.0667570822803,477.7557004198434,117.691,48.999831826242016,0.048,0.2787400222429495,1.0,0.0,0.0
traj2_landing_baseline,best_policy_seed_49.pth,best,49,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-603.5193701590509,523.8904653632326,106.671,79.15453719781324,0.165,0.37118054905934933,1.0,0.0,0.0
traj2_landing_baseline,best_policy_seed_50.pth,best,50,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-148.38622922578767,48.062586402314416,70.569,14.333291282884053,0.256,0.4364218143035474,1.0,0.0,0.0
traj2_landing_baseline,best_policy_seed_51.pth,best,51,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-493.80577747368824,128.43510834855545,67.662,12.152273696720297,0.22,0.41424630354415964,1.0,0.0,0.0
traj2_landing_baseline,last_policy_seed_42.pth,last,42,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-872.2707564842751,476.98478220715117,395.563,266.9270013149663,0.033,0.1786365024288149,0.966,0.034,0.0
traj2_landing_baseline,last_policy_seed_43.pth,last,43,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-497.57984044721996,262.69837366708634,453.572,435.4935531279424,0.008,0.09967948635501689,0.612,0.388,0.0
traj2_landing_baseline,last_policy_seed_44.pth,last,44,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-907.7566719145526,679.3441776659711,127.516,62.14412075168495,0.0,0.0,1.0,0.0,0.0
traj2_landing_baseline,last_policy_seed_45.pth,last,45,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-758.0132046082786,203.62935304653246,120.887,42.11197253751004,0.0,0.0,1.0,0.0,0.0
traj2_landing_baseline,last_policy_seed_46.pth,last,46,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-489.55498252735066,118.23786503722779,134.201,80.70792153809934,0.278,0.4480133926569607,1.0,0.0,0.0
traj2_landing_baseline,last_policy_seed_47.pth,last,47,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-172.30898992849023,237.66382221388636,160.328,50.55170042639516,0.311,0.46290279757201735,1.0,0.0,0.0
traj2_landing_baseline,last_policy_seed_48.pth,last,48,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-957.3735927120862,510.3436107662868,347.681,123.37143607415778,0.13,0.3479942528261063,0.999,0.001,0.0
traj2_landing_baseline,last_policy_seed_49.pth,last,49,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-200.80100651783513,230.69087414157184,133.468,44.37788836796992,0.256,0.4364218143035474,1.0,0.0,0.0
traj2_landing_baseline,last_policy_seed_50.pth,last,50,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-148.38622922578767,48.062586402314416,70.569,14.333291282884053,0.256,0.4364218143035474,1.0,0.0,0.0
traj2_landing_baseline,last_policy_seed_51.pth,last,51,200000,1000,0,0,0,3,gym_default,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-582.8467078705463,164.85542094598702,68.063,13.000039653785677,0.22,0.41424630354415964,1.0,0.0,0.0
