experiment,policy,category,training_seed,evaluation_seed,evaluation_episodes,successes,success_rate
vi_6x6,best_policy_seed_42.pth,best,42,100000,1000,0,0.0
vi_6x6,best_policy_seed_43.pth,best,43,100000,1000,958,0.958
vi_6x6,best_policy_seed_44.pth,best,44,100000,1000,651,0.651
vi_6x6,best_policy_seed_45.pth,best,45,100000,1000,0,0.0
vi_6x6,best_policy_seed_46.pth,best,46,100000,1000,0,0.0
vi_6x6,best_policy_seed_47.pth,best,47,100000,1000,793,0.793
vi_6x6,best_policy_seed_48.pth,best,48,100000,1000,0,0.0
vi_6x6,best_policy_seed_49.pth,best,49,100000,1000,966,0.966
vi_6x6,best_policy_seed_50.pth,best,50,100000,1000,968,0.968
vi_6x6,best_policy_seed_51.pth,best,51,100000,1000,890,0.89
vi_6x6,last_policy_seed_42.pth,last,42,100000,1000,0,0.0
vi_6x6,last_policy_seed_43.pth,last,43,100000,1000,105,0.105
vi_6x6,last_policy_seed_44.pth,last,44,100000,1000,552,0.552
vi_6x6,last_policy_seed_45.pth,last,45,100000,1000,0,0.0
vi_6x6,last_policy_seed_46.pth,last,46,100000,1000,0,0.0
vi_6x6,last_policy_seed_47.pth,last,47,100000,1000,638,0.638
vi_6x6,last_policy_seed_48.pth,last,48,100000,1000,0,0.0
vi_6x6,last_policy_seed_49.pth,last,49,100000,1000,672,0.672
vi_6x6,last_policy_seed_50.pth,last,50,100000,1000,956,0.956
vi_6x6,last_policy_seed_51.pth,last,51,100000,1000,1,0.001
