experiment,policy,category,training_seed,evaluation_seed,evaluation_episodes,successes,success_rate
with_maxq,best_policy_seed_42.pth,best,42,,1000,982,0.982
with_maxq,best_policy_seed_43.pth,best,43,,1000,940,0.94
with_maxq,best_policy_seed_44.pth,best,44,,1000,955,0.955
with_maxq,best_policy_seed_45.pth,best,45,,1000,946,0.946
with_maxq,best_policy_seed_46.pth,best,46,,1000,1000,1.0
with_maxq,best_policy_seed_47.pth,best,47,,1000,772,0.772
with_maxq,best_policy_seed_48.pth,best,48,,1000,978,0.978
with_maxq,best_policy_seed_49.pth,best,49,,1000,923,0.923
with_maxq,best_policy_seed_50.pth,best,50,,1000,750,0.75
with_maxq,best_policy_seed_51.pth,best,51,,1000,795,0.795
with_maxq,last_policy_seed_42.pth,last,42,,1000,708,0.708
with_maxq,last_policy_seed_43.pth,last,43,,1000,732,0.732
with_maxq,last_policy_seed_44.pth,last,44,,1000,635,0.635
with_maxq,last_policy_seed_45.pth,last,45,,1000,949,0.949
with_maxq,last_policy_seed_46.pth,last,46,,1000,505,0.505
with_maxq,last_policy_seed_47.pth,last,47,,1000,492,0.492
with_maxq,last_policy_seed_48.pth,last,48,,1000,835,0.835
with_maxq,last_policy_seed_49.pth,last,49,,1000,933,0.933
with_maxq,last_policy_seed_50.pth,last,50,,1000,762,0.762
with_maxq,last_policy_seed_51.pth,last,51,,1000,15,0.015
