experiment,policy,category,training_seed,evaluation_seed,evaluation_episodes,successes,success_rate
with_pe,best_policy_seed_42.pth,best,42,,1000,957,0.957
with_pe,best_policy_seed_43.pth,best,43,,1000,1000,1.0
with_pe,best_policy_seed_44.pth,best,44,,1000,977,0.977
with_pe,best_policy_seed_45.pth,best,45,,1000,983,0.983
with_pe,best_policy_seed_46.pth,best,46,,1000,994,0.994
with_pe,best_policy_seed_47.pth,best,47,,1000,946,0.946
with_pe,best_policy_seed_48.pth,best,48,,1000,856,0.856
with_pe,best_policy_seed_49.pth,best,49,,1000,956,0.956
with_pe,best_policy_seed_50.pth,best,50,,1000,980,0.98
with_pe,best_policy_seed_51.pth,best,51,,1000,991,0.991
with_pe,last_policy_seed_42.pth,last,42,,1000,581,0.581
with_pe,last_policy_seed_43.pth,last,43,,1000,745,0.745
with_pe,last_policy_seed_44.pth,last,44,,1000,12,0.012
with_pe,last_policy_seed_45.pth,last,45,,1000,819,0.819
with_pe,last_policy_seed_46.pth,last,46,,1000,732,0.732
with_pe,last_policy_seed_47.pth,last,47,,1000,941,0.941
with_pe,last_policy_seed_48.pth,last,48,,1000,681,0.681
with_pe,last_policy_seed_49.pth,last,49,,1000,892,0.892
with_pe,last_policy_seed_50.pth,last,50,,1000,821,0.821
with_pe,last_policy_seed_51.pth,last,51,,1000,827,0.827
