method,seed,final_full_success_percent,normalized_auc
360x360,0,88.5,49.72654972654973
360x360,1,89.0,50.45805045805046
360x360,2,88.6,51.68905168905169
360x360,3,88.5,51.236551236551236
360x360,4,88.5,50.151550151550154
90x90_to_360x360,0,100.0,85.4090854090854
90x90_to_360x360,1,100.0,85.44708544708544
90x90_to_360x360,2,100.0,85.7000857000857
90x90_to_360x360,3,100.0,85.22108522108522
90x90_to_360x360,4,99.9,85.82858582858583
180x180_to_360x360,0,100.0,85.03408503408504
180x180_to_360x360,1,99.9,85.51558551558551
180x180_to_360x360,2,100.0,85.03108503108503
180x180_to_360x360,3,99.9,85.01958501958502
180x180_to_360x360,4,100.0,84.92608492608493
