experiment,policy,category,training_seed,evaluation_seed,evaluation_episodes,successes,failures,is_continuing,max_cycles_per_episode,max_episode_steps,success_rate,failure_rate,mean_completed_cycles,std_completed_cycles,zero_cycles_rate,exactly_one_cycle_rate,exactly_two_cycles_rate,three_cycles_rate,at_least_one_cycle_rate,at_least_two_cycles_rate,at_least_three_cycles_rate,mean_task_return,std_task_return,mean_environment_return,std_environment_return,mean_episode_length,std_episode_length,mean_dfa_transitions,std_dfa_transitions,terminated_rate,truncated_rate,cycle_cap_rate
rq4_final_horizontal_baseline,best_policy_seed_42.pth,best,42,200000,1000,6,0,1,3,1500,0.006,0.0,0.006,0.0772269383052313,0.994,0.006,0.0,0.0,0.006,0.0,0.0,60.0,772.269383052313,-202.82830189418033,121.37264456072735,289.026,93.11465686990422,0.034,0.2117640196067311,1.0,0.0,0.0
rq4_final_horizontal_baseline,best_policy_seed_43.pth,best,43,200000,1000,4,0,1,3,1500,0.004,0.0,0.004,0.063118935352238,0.996,0.004,0.0,0.0,0.004,0.0,0.0,40.0,631.18935352238,-546.7164953723791,104.61394302749645,108.788,87.8598830866511,0.041,0.21752930837015963,1.0,0.0,0.0
rq4_final_horizontal_baseline,best_policy_seed_44.pth,best,44,200000,1000,900,0,1,3,1500,0.9,0.0,2.549,0.9785698748684225,0.1,0.055,0.041,0.804,0.9,0.845,0.804,25490.0,9785.698748684224,-348.3211648849408,195.3170350925111,961.637,234.57657860707238,5.11,1.9431675172254192,0.195,0.001,0.804
rq4_final_horizontal_baseline,best_policy_seed_45.pth,best,45,200000,1000,0,0,1,3,1500,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-583.8193075279554,168.26257526702744,67.605,16.080453196349907,0.0,0.0,1.0,0.0,0.0
rq4_final_horizontal_baseline,best_policy_seed_46.pth,best,46,200000,1000,415,0,1,3,1500,0.415,0.0,0.415,0.49272203116970525,0.585,0.415,0.0,0.0,0.415,0.0,0.0,4150.0,4927.220311697052,-420.55639867371644,132.81162486943424,291.514,95.17398701325904,1.247,0.7224894462897019,1.0,0.0,0.0
rq4_final_horizontal_baseline,best_policy_seed_47.pth,best,47,200000,1000,941,0,1,3,1500,0.941,0.0,0.941,0.23562470159132295,0.059,0.941,0.0,0.0,0.941,0.0,0.0,9410.0,2356.24701591323,-368.34977440739294,70.5940140617106,509.566,282.2322583334513,1.889,0.45019884495631485,0.978,0.022,0.0
rq4_final_horizontal_baseline,best_policy_seed_48.pth,best,48,200000,1000,0,0,1,3,1500,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-459.95123455557905,275.98588537886366,918.75,415.6909470989235,0.123,0.3284372086107175,0.805,0.195,0.0
rq4_final_horizontal_baseline,best_policy_seed_49.pth,best,49,200000,1000,924,0,1,3,1500,0.924,0.0,0.924,0.2649981132008302,0.076,0.924,0.0,0.0,0.924,0.0,0.0,9240.0,2649.9811320083018,-424.8438183105397,58.286575202843785,286.645,54.78155688733207,1.885,0.4239988207530771,1.0,0.0,0.0
rq4_final_horizontal_baseline,best_policy_seed_50.pth,best,50,200000,1000,0,0,1,3,1500,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-579.4192737437393,168.16174007280833,75.792,21.231691783746296,0.191,0.39308904843559306,1.0,0.0,0.0
rq4_final_horizontal_baseline,best_policy_seed_51.pth,best,51,200000,1000,800,0,1,3,1500,0.8,0.0,0.8,0.4,0.2,0.8,0.0,0.0,0.8,0.0,0.0,8000.0,4000.0,-295.0899071294394,75.21295271927006,278.968,82.8242173280255,1.702,0.6365500765847097,1.0,0.0,0.0
