experiment,policy,category,training_seed,evaluation_seed,evaluation_episodes,successes,failures,is_continuing,max_cycles_per_episode,max_episode_steps,success_rate,failure_rate,mean_completed_cycles,std_completed_cycles,zero_cycles_rate,exactly_one_cycle_rate,exactly_two_cycles_rate,three_cycles_rate,at_least_one_cycle_rate,at_least_two_cycles_rate,at_least_three_cycles_rate,mean_task_return,std_task_return,mean_environment_return,std_environment_return,mean_episode_length,std_episode_length,mean_dfa_transitions,std_dfa_transitions,terminated_rate,truncated_rate,cycle_cap_rate
rq4_final_horizontal_shaped,best_policy_seed_42.pth,best,42,200000,1000,1000,0,1,3,1500,1.0,0.0,2.972,0.20788458336298055,0.0,0.008,0.012,0.98,1.0,0.992,0.98,29720.0,2078.8458336298054,-271.60027980885076,43.148055645532416,992.501,101.46379649411904,5.95,0.3840572873934304,0.02,0.0,0.98
rq4_final_horizontal_shaped,best_policy_seed_43.pth,best,43,200000,1000,998,0,1,3,1500,0.998,0.0,2.478,0.7533365781641032,0.002,0.153,0.21,0.635,0.998,0.845,0.635,24780.0,7533.365781641032,-379.34183878079983,103.98008255981163,943.055,279.2210951468388,5.119,1.3292249621489962,0.257,0.108,0.635
rq4_final_horizontal_shaped,best_policy_seed_44.pth,best,44,200000,1000,1000,0,1,3,1500,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,30000.0,0.0,-239.08091487802983,29.047991248315768,886.172,83.00878517361882,6.0,0.0,0.0,0.0,1.0
rq4_final_horizontal_shaped,best_policy_seed_45.pth,best,45,200000,1000,999,0,1,3,1500,0.999,0.0,2.807,0.4644900429503306,0.001,0.027,0.136,0.836,0.999,0.972,0.836,28070.0,4644.900429503306,-361.74347045133504,104.2224750515537,1161.205,211.94948212958673,5.72,0.7372923436466704,0.063,0.103,0.836
rq4_final_horizontal_shaped,best_policy_seed_46.pth,best,46,200000,1000,992,0,1,3,1500,0.992,0.0,2.944,0.34185376990754396,0.008,0.008,0.016,0.968,0.992,0.984,0.968,29440.0,3418.5376990754394,-252.56446601795133,38.529194661131356,899.053,90.61119241572754,5.909,0.5972595750592868,0.017,0.015,0.968
rq4_final_horizontal_shaped,best_policy_seed_47.pth,best,47,200000,1000,1000,0,1,3,1500,1.0,0.0,2.993,0.10464702575802144,0.0,0.002,0.003,0.995,1.0,0.998,0.995,29930.0,1046.4702575802144,-288.9870298996023,35.623831926750896,887.951,93.35695260129263,5.986,0.20929405151604288,0.005,0.0,0.995
rq4_final_horizontal_shaped,best_policy_seed_48.pth,best,48,200000,1000,990,0,1,3,1500,0.99,0.0,2.825,0.5063348694293136,0.01,0.026,0.093,0.871,0.99,0.964,0.871,28250.0,5063.348694293136,-316.74313967447404,58.05146884133895,856.664,153.19904407012467,5.709,0.8867462996821582,0.126,0.003,0.871
rq4_final_horizontal_shaped,best_policy_seed_49.pth,best,49,200000,1000,995,0,1,3,1500,0.995,0.0,2.921,0.3588300433352815,0.005,0.013,0.038,0.944,0.995,0.982,0.944,29210.0,3588.300433352815,-332.10295268886244,67.29828120073448,1046.945,196.03859307544522,5.883,0.5755962126352118,0.036,0.02,0.944
rq4_final_horizontal_shaped,best_policy_seed_50.pth,best,50,200000,1000,1000,0,1,3,1500,1.0,0.0,2.986,0.1606362350156402,0.0,0.006,0.002,0.992,1.0,0.994,0.992,29860.0,1606.3623501564023,-258.3412687725098,28.296162216413812,873.38,53.135935109867034,5.973,0.31027568386839466,0.008,0.0,0.992
rq4_final_horizontal_shaped,best_policy_seed_51.pth,best,51,200000,1000,997,0,1,3,1500,0.997,0.0,2.989,0.16993822406980721,0.003,0.0,0.002,0.995,0.997,0.997,0.995,29890.0,1699.382240698072,-251.95174508666497,36.22383708438675,871.104,49.599931290274995,5.98,0.31874754901018454,0.005,0.0,0.995
rq4_final_horizontal_shaped,last_policy_seed_42.pth,last,42,200000,1000,826,0,1,3,1500,0.826,0.0,1.698,1.1021778440886933,0.174,0.282,0.216,0.328,0.826,0.544,0.328,16980.0,11021.778440886934,-364.7082613460379,61.36704270162414,1045.28,430.75952177520116,3.881,1.8938951924539016,0.368,0.305,0.328
rq4_final_horizontal_shaped,last_policy_seed_43.pth,last,43,200000,1000,996,0,1,3,1500,0.996,0.0,1.895,0.7456373112981941,0.004,0.324,0.445,0.227,0.996,0.672,0.227,18950.0,7456.373112981941,-406.1440741280074,60.077439623550625,713.234,198.52157878679085,4.072,1.3284637744402366,0.773,0.0,0.227
rq4_final_horizontal_shaped,last_policy_seed_44.pth,last,44,200000,1000,516,0,1,3,1500,0.516,0.0,0.862,0.9689974200172051,0.484,0.234,0.218,0.064,0.516,0.282,0.064,8620.0,9689.974200172051,-364.90013755164387,83.29414997728256,874.465,475.700282504646,2.58,1.8919830866051632,0.771,0.167,0.064
rq4_final_horizontal_shaped,last_policy_seed_45.pth,last,45,200000,1000,363,0,1,3,1500,0.363,0.0,0.444,0.6548770877042501,0.637,0.292,0.061,0.01,0.363,0.071,0.01,4440.0,6548.770877042501,-346.5573111646543,129.6983427740024,475.115,287.4407622015361,1.468,1.2525877214790189,0.976,0.014,0.01
