experiment,policy,category,training_seed,evaluation_seed,evaluation_episodes,successes,failures,is_continuing,max_cycles_per_episode,max_episode_steps,success_rate,failure_rate,mean_completed_cycles,std_completed_cycles,zero_cycles_rate,exactly_one_cycle_rate,exactly_two_cycles_rate,three_cycles_rate,at_least_one_cycle_rate,at_least_two_cycles_rate,at_least_three_cycles_rate,mean_task_return,std_task_return,mean_environment_return,std_environment_return,mean_episode_length,std_episode_length,mean_dfa_transitions,std_dfa_transitions,terminated_rate,truncated_rate,cycle_cap_rate
rq4_final_horizontal_shaped,best_policy_seed_42.pth,best,42,200000,1000,1000,0,1,100000,5000,1.0,0.0,13.296,2.864329589973891,0.0,0.008,0.012,0.98,1.0,0.992,0.98,132960.0,28643.295899738914,-1054.1243872227421,158.15481068039102,4675.44,961.4170585131095,26.991,5.755425179776035,0.135,0.865,0.0
rq4_final_horizontal_shaped,best_policy_seed_43.pth,best,43,200000,1000,999,0,1,100000,5000,0.999,0.0,4.972,3.52976146502848,0.001,0.141,0.166,0.692,0.999,0.858,0.692,49720.0,35297.6146502848,-782.6851571230437,300.91254775454166,2250.085,1499.217609213219,10.347,7.046885198440513,0.866,0.134,0.0
rq4_final_horizontal_shaped,best_policy_seed_44.pth,best,44,200000,1000,1000,0,1,100000,5000,1.0,0.0,16.478,1.4844244675967853,0.0,0.0,0.0,1.0,1.0,1.0,1.0,164780.0,14844.244675967855,-1149.4802267789516,50.06186741408174,4987.401,178.48328268776322,33.846,3.0003806425185453,0.006,0.994,0.0
rq4_final_horizontal_shaped,best_policy_seed_45.pth,best,45,200000,1000,999,0,1,100000,5000,0.999,0.0,9.938,4.075310540314689,0.001,0.026,0.038,0.935,0.999,0.973,0.935,99380.0,40753.10540314689,-1082.9799957850057,221.39836811732263,3983.268,1414.8747075893327,20.261,8.180762739500516,0.429,0.571,0.0
rq4_final_horizontal_shaped,best_policy_seed_46.pth,best,46,200000,1000,999,0,1,100000,5000,0.999,0.0,14.116,4.092254146555416,0.001,0.004,0.013,0.982,0.999,0.995,0.982,141160.0,40922.54146555417,-1079.355321511475,197.6619372558852,4399.839,1209.2268071288363,28.886,8.143525280859635,0.251,0.749,0.0
rq4_final_horizontal_shaped,best_policy_seed_47.pth,best,47,200000,1000,1000,0,1,100000,5000,1.0,0.0,16.177,2.5115077145013913,0.0,0.002,0.003,0.995,1.0,0.998,0.995,161770.0,25115.077145013907,-1183.0035303315242,129.0574801816158,4812.299,716.035949934778,32.893,5.146411468198011,0.086,0.914,0.0
rq4_final_horizontal_shaped,best_policy_seed_48.pth,best,48,200000,1000,990,0,1,100000,5000,0.99,0.0,9.103,5.335952679700224,0.01,0.026,0.091,0.873,0.99,0.964,0.873,91030.0,53359.52679700224,-869.4401195666711,306.35828850018953,3070.694,1603.9280614678453,18.649,10.709705831627684,0.711,0.289,0.0
rq4_final_horizontal_shaped,best_policy_seed_49.pth,best,49,200000,1000,995,0,1,100000,5000,0.995,0.0,12.57,3.7578052104918904,0.005,0.013,0.018,0.964,0.995,0.982,0.964,125700.0,37578.052104918905,-1082.7033828175188,197.9154664094728,4466.521,1176.1971465528218,25.577,7.409323248448538,0.226,0.774,0.0
rq4_final_horizontal_shaped,best_policy_seed_50.pth,best,50,200000,1000,1000,0,1,100000,5000,1.0,0.0,16.364,1.611677387072239,0.0,0.006,0.002,0.992,1.0,0.994,0.992,163640.0,16116.77387072239,-1130.2725682398057,76.05913354841852,4946.299,445.72573809350524,33.14,3.1439465644313995,0.018,0.982,0.0
rq4_final_horizontal_shaped,best_policy_seed_51.pth,best,51,200000,1000,997,0,1,100000,5000,0.997,0.0,16.707,1.6568497216102611,0.003,0.0,0.002,0.995,0.997,0.997,0.995,167070.0,16568.497216102613,-1195.4850887822784,82.57378582934011,4939.445,454.37036542340655,33.457,3.2564015415792933,0.024,0.976,0.0
rq4_final_horizontal_shaped,last_policy_seed_42.pth,last,42,200000,1000,826,0,1,100000,5000,0.826,0.0,2.339,2.2450120266938436,0.174,0.282,0.192,0.352,0.826,0.544,0.352,23390.0,22450.120266938437,-683.7583386692711,271.9338896791253,2646.782,2018.6380964590953,5.365,4.4532881110478355,0.606,0.394,0.0
rq4_final_horizontal_shaped,last_policy_seed_43.pth,last,43,200000,1000,996,0,1,100000,5000,0.996,0.0,1.989,0.9585817649006265,0.004,0.324,0.445,0.227,0.996,0.672,0.227,19890.0,9585.817649006265,-443.85769195486944,87.3005477584598,769.153,300.4971973097253,4.303,1.8257028783457618,1.0,0.0,0.0
rq4_final_horizontal_shaped,last_policy_seed_44.pth,last,44,200000,1000,517,0,1,100000,5000,0.517,0.0,1.142,1.5664724702336779,0.483,0.232,0.12,0.165,0.517,0.285,0.165,11420.0,15664.724702336776,-439.5035244407102,181.06795460203904,1086.31,885.1909623917315,3.203,3.189324536637813,0.994,0.006,0.0
rq4_final_horizontal_shaped,last_policy_seed_45.pth,last,45,200000,1000,363,0,1,100000,5000,0.363,0.0,0.452,0.6838830309343842,0.637,0.291,0.059,0.013,0.363,0.072,0.013,4520.0,6838.830309343843,-351.62267858020255,139.6681592548291,482.785,315.9589985662697,1.489,1.3205601084388396,1.0,0.0,0.0
rq4_final_horizontal_shaped,last_policy_seed_46.pth,last,46,200000,1000,999,0,1,100000,5000,0.999,0.0,8.924,2.9926951064216345,0.001,0.018,0.032,0.949,0.999,0.981,0.949,89240.0,29926.951064216348,-976.5743753879364,228.57908662689925,4163.426,1380.2064137381772,18.261,6.046890027113111,0.353,0.647,0.0
