experiment,policy,category,training_seed,evaluation_seed,evaluation_episodes,successes,failures,is_continuing,max_cycles_per_episode,max_episode_steps,success_rate,failure_rate,mean_completed_cycles,std_completed_cycles,zero_cycles_rate,exactly_one_cycle_rate,exactly_two_cycles_rate,three_cycles_rate,at_least_one_cycle_rate,at_least_two_cycles_rate,at_least_three_cycles_rate,mean_task_return,std_task_return,mean_environment_return,std_environment_return,mean_episode_length,std_episode_length,mean_dfa_transitions,std_dfa_transitions,terminated_rate,truncated_rate,cycle_cap_rate
rq4_final_rectangle_shaped,best_policy_seed_42.pth,best,42,200000,1000,1000,0,1,3,1500,1.0,0.0,2.991,0.10449401896759453,0.0,0.001,0.007,0.992,1.0,0.999,0.992,29910.0,1044.940189675945,-223.6236004446291,37.44335876655417,969.465,107.68491433343857,11.982,0.2562732916243907,0.004,0.004,0.992
rq4_final_rectangle_shaped,best_policy_seed_43.pth,best,43,200000,1000,990,0,1,3,1500,0.99,0.0,2.966,0.30796753075608474,0.01,0.001,0.002,0.987,0.99,0.989,0.987,29660.0,3079.6753075608476,-247.8836152295744,51.22794029286137,1008.591,109.1574904392731,11.879,1.1464549707685863,0.013,0.0,0.987
rq4_final_rectangle_shaped,best_policy_seed_44.pth,best,44,200000,1000,1000,0,1,3,1500,1.0,0.0,2.965,0.23616731357239085,0.0,0.011,0.013,0.976,1.0,0.989,0.976,29650.0,2361.6731357239087,-240.27890689046848,32.98131842691719,991.005,112.69255066329806,11.896,0.7531161928945626,0.003,0.021,0.976
rq4_final_rectangle_shaped,best_policy_seed_45.pth,best,45,200000,1000,998,0,1,3,1500,0.998,0.0,2.871,0.415161414392041,0.002,0.024,0.075,0.899,0.998,0.974,0.899,28710.0,4151.61414392041,-312.32099487484095,137.89604677218782,1106.986,177.98016126523765,11.616,1.3321201147043762,0.03,0.071,0.899
rq4_final_rectangle_shaped,best_policy_seed_46.pth,best,46,200000,1000,970,0,1,3,1500,0.97,0.0,2.674,0.6955026958970038,0.03,0.042,0.152,0.776,0.97,0.928,0.776,26740.0,6955.0269589700365,-301.1805896002565,65.33666177977754,1172.567,235.81289937363476,11.068,2.246636597227064,0.081,0.144,0.776
rq4_final_rectangle_shaped,best_policy_seed_47.pth,best,47,200000,1000,988,0,1,3,1500,0.988,0.0,2.875,0.4912992977808945,0.012,0.03,0.029,0.929,0.988,0.958,0.929,28750.0,4912.9929778089445,-257.24305275046703,62.99803312158595,1072.824,146.65887298080537,11.604,1.6331515545104809,0.056,0.015,0.929
rq4_final_rectangle_shaped,best_policy_seed_48.pth,best,48,200000,1000,1000,0,1,3,1500,1.0,0.0,2.96,0.20591260281974003,0.0,0.002,0.036,0.962,1.0,0.998,0.962,29600.0,2059.1260281974,-235.52719901718123,32.902492904391075,1174.367,119.65481315433993,11.927,0.4535096470859247,0.0,0.039,0.962
rq4_final_rectangle_shaped,best_policy_seed_49.pth,best,49,200000,1000,999,0,1,3,1500,0.999,0.0,2.988,0.14091131963046832,0.001,0.001,0.007,0.991,0.999,0.998,0.991,29880.0,1409.113196304683,-252.8645143715472,32.38796444915061,953.281,92.84911436842035,11.967,0.4241591682375849,0.005,0.004,0.991
rq4_final_rectangle_shaped,best_policy_seed_50.pth,best,50,200000,1000,1000,0,1,3,1500,1.0,0.0,2.963,0.25225185826867563,0.0,0.014,0.009,0.977,1.0,0.986,0.977,29630.0,2522.518582686756,-234.60763613191313,38.68549164442166,1015.513,90.58411467249653,11.892,0.7604840563746226,0.009,0.014,0.977
rq4_final_rectangle_shaped,best_policy_seed_51.pth,best,51,200000,1000,938,0,1,3,1500,0.938,0.0,2.546,0.9197195224632344,0.062,0.113,0.042,0.783,0.938,0.825,0.783,25460.0,9197.195224632344,-257.3755427363177,92.26140283321882,993.648,235.1097192716626,10.455,3.234188460804348,0.189,0.028,0.783
