experiment,policy,category,training_seed,evaluation_seed,evaluation_episodes,successes,failures,is_continuing,max_cycles_per_episode,max_episode_steps,success_rate,failure_rate,mean_completed_cycles,std_completed_cycles,zero_cycles_rate,exactly_one_cycle_rate,exactly_two_cycles_rate,three_cycles_rate,at_least_one_cycle_rate,at_least_two_cycles_rate,at_least_three_cycles_rate,mean_task_return,std_task_return,mean_environment_return,std_environment_return,mean_episode_length,std_episode_length,mean_dfa_transitions,std_dfa_transitions,terminated_rate,truncated_rate,cycle_cap_rate
rq4_final_rectangle_shaped,best_policy_seed_42.pth,best,42,200000,1000,1000,0,1,100000,5000,1.0,0.0,14.736,2.537381327274243,0.0,0.001,0.003,0.996,1.0,0.999,0.996,147360.0,25373.81327274243,-1046.3677793480003,114.28152219159354,4780.367,720.3449703517057,60.533,10.260356280363757,0.118,0.882,0.0
rq4_final_rectangle_shaped,best_policy_seed_43.pth,best,43,200000,1000,990,0,1,100000,5000,0.99,0.0,14.503,1.8509432730367505,0.01,0.001,0.002,0.987,0.99,0.989,0.987,145030.0,18509.43273036751,-1081.2969579509495,71.42869195864468,4922.293,565.6761928444577,59.788,7.395745804176885,0.021,0.979,0.0
rq4_final_rectangle_shaped,best_policy_seed_44.pth,best,44,200000,1000,1000,0,1,100000,5000,1.0,0.0,14.721,3.3593390719009,0.0,0.009,0.008,0.983,1.0,0.991,0.983,147210.0,33593.390719009,-1047.1556334921618,112.92114063146154,4783.045,737.1417441544061,60.211,13.456911941452242,0.105,0.895,0.0
rq4_final_rectangle_shaped,best_policy_seed_45.pth,best,45,200000,1000,999,0,1,100000,5000,0.999,0.0,11.235,3.2292065588933765,0.001,0.01,0.019,0.97,0.999,0.989,0.97,112350.0,32292.06558893376,-1152.5838700957256,263.5572299874434,4448.437,1155.9512524457941,45.978,13.211037657958592,0.24,0.76,0.0
rq4_final_rectangle_shaped,best_policy_seed_46.pth,best,46,200000,1000,970,0,1,100000,5000,0.97,0.0,9.061,4.317323128977029,0.03,0.04,0.058,0.872,0.97,0.93,0.872,90610.0,43173.23128977029,-918.8923125600711,242.9376704770685,4250.832,1397.9466455398074,37.559,17.23376102306168,0.277,0.723,0.0
rq4_final_rectangle_shaped,best_policy_seed_47.pth,best,47,200000,1000,988,0,1,100000,5000,0.988,0.0,11.685,4.05952891355635,0.012,0.027,0.02,0.941,0.988,0.961,0.941,116850.0,40595.2891355635,-954.4270740984634,191.13290407880194,4377.559,1199.4094190554783,48.136,16.186028048906874,0.28,0.72,0.0
rq4_final_rectangle_shaped,best_policy_seed_48.pth,best,48,200000,1000,1000,0,1,100000,5000,1.0,0.0,13.512,0.8048950242112322,0.0,0.0,0.0,1.0,1.0,1.0,1.0,135120.0,8048.950242112322,-979.0240616840075,34.40353326610949,5000.0,0.0,55.622,3.1050146537496404,0.0,1.0,0.0
rq4_final_rectangle_shaped,best_policy_seed_49.pth,best,49,200000,1000,999,0,1,100000,5000,0.999,0.0,14.741,2.8174312768903524,0.001,0.001,0.003,0.995,0.999,0.998,0.995,147410.0,28174.31276890352,-1079.3029208012204,149.389597519598,4733.891,831.5756400466526,60.38,11.47186122649677,0.124,0.876,0.0
rq4_final_rectangle_shaped,best_policy_seed_50.pth,best,50,200000,1000,1000,0,1,100000,5000,1.0,0.0,14.55,2.8533313862921705,0.0,0.01,0.005,0.985,1.0,0.99,0.985,145500.0,28533.313862921706,-1012.8756076126509,156.32716640691814,4876.74,563.3169040602279,59.422,11.138667604341194,0.062,0.938,0.0
rq4_final_rectangle_shaped,best_policy_seed_51.pth,best,51,200000,1000,939,0,1,100000,5000,0.939,0.0,11.28,5.7120574226805525,0.061,0.108,0.023,0.808,0.939,0.831,0.808,112800.0,57120.574226805526,-878.4527130413859,248.74206868904716,3920.577,1758.7545326369452,46.633,23.064264805104887,0.319,0.682,0.0
rq4_final_rectangle_shaped,last_policy_seed_42.pth,last,42,200000,1000,131,0,1,100000,5000,0.131,0.0,0.144,0.38892672831781566,0.869,0.119,0.011,0.001,0.131,0.012,0.001,1440.0,3889.2672831781565,-749.6117324031312,212.84819648782752,4168.875,1759.1966698965184,1.602,1.5516430001775536,0.183,0.817,0.0
rq4_final_rectangle_shaped,last_policy_seed_43.pth,last,43,200000,1000,712,0,1,100000,5000,0.712,0.0,0.917,0.7759581174264497,0.288,0.552,0.124,0.036,0.712,0.16,0.036,9170.0,7759.581174264497,-381.72948191076847,112.22205656585784,747.076,360.5251617071962,4.758,3.134236111080338,1.0,0.0,0.0
rq4_final_rectangle_shaped,last_policy_seed_44.pth,last,44,200000,1000,1000,0,1,100000,5000,1.0,0.0,14.721,3.3593390719009,0.0,0.009,0.008,0.983,1.0,0.991,0.983,147210.0,33593.390719009,-1047.1556334921618,112.92114063146154,4783.045,737.1417441544061,60.211,13.456911941452242,0.105,0.895,0.0
rq4_final_rectangle_shaped,last_policy_seed_45.pth,last,45,200000,1000,891,0,1,100000,5000,0.891,0.0,5.798,3.1345168686737037,0.109,0.051,0.049,0.791,0.891,0.84,0.791,57980.0,31345.168686737037,-801.6414169347056,269.13762678417595,3561.313,1795.8788915266532,25.346,12.479674835507534,0.487,0.514,0.0
rq4_final_rectangle_shaped,last_policy_seed_46.pth,last,46,200000,1000,966,0,1,100000,5000,0.966,0.0,3.381,2.704411026452895,0.034,0.285,0.177,0.504,0.966,0.681,0.504,33810.0,27044.110264528947,-693.9881324244682,251.80671691292602,3341.95,1802.6754603921363,14.683,10.779912383688469,0.502,0.498,0.0
rq4_final_rectangle_shaped,last_policy_seed_47.pth,last,47,200000,1000,998,0,1,100000,5000,0.998,0.0,2.245,1.7449856732936233,0.002,0.481,0.203,0.314,0.998,0.517,0.314,22450.0,17449.856732936234,-473.54354178580235,146.88416809602512,1053.405,662.4362482345,10.75,6.983516306274368,1.0,0.0,0.0
