experiment,policy,category,training_seed,evaluation_seed,evaluation_episodes,successes,failures,is_continuing,max_cycles_per_episode,max_episode_steps,success_rate,failure_rate,mean_completed_cycles,std_completed_cycles,zero_cycles_rate,exactly_one_cycle_rate,exactly_two_cycles_rate,three_cycles_rate,at_least_one_cycle_rate,at_least_two_cycles_rate,at_least_three_cycles_rate,mean_task_return,std_task_return,mean_environment_return,std_environment_return,mean_episode_length,std_episode_length,mean_dfa_transitions,std_dfa_transitions,terminated_rate,truncated_rate,cycle_cap_rate
rq4_final_triangle_baseline,best_policy_seed_42.pth,best,42,200000,1000,0,0,1,3,1500,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-410.0991790255099,416.7191993641161,115.892,60.80046328770859,0.243,0.42889509206797877,1.0,0.0,0.0
rq4_final_triangle_baseline,best_policy_seed_43.pth,best,43,200000,1000,0,0,1,3,1500,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-316.8247398383424,127.16631168484933,80.146,16.02986849602953,0.469,0.49903807469971667,1.0,0.0,0.0
rq4_final_triangle_baseline,best_policy_seed_44.pth,best,44,200000,1000,758,0,1,3,1500,0.758,0.0,0.765,0.44019881871717925,0.242,0.751,0.007,0.0,0.758,0.007,0.0,7650.0,4401.988187171792,-579.5562675942168,237.32992602088558,456.146,277.9004726228439,2.304,1.3120914602267633,0.978,0.022,0.0
rq4_final_triangle_baseline,best_policy_seed_45.pth,best,45,200000,1000,75,0,1,3,1500,0.075,0.0,0.075,0.26339134382131846,0.925,0.075,0.0,0.0,0.075,0.0,0.0,750.0,2633.9134382131847,-223.48379120973206,129.18164334532565,194.479,229.39301113809023,0.601,0.9185853253781056,0.983,0.017,0.0
rq4_final_triangle_baseline,best_policy_seed_46.pth,best,46,200000,1000,124,0,1,3,1500,0.124,0.0,0.124,0.3295815528818322,0.876,0.124,0.0,0.0,0.124,0.0,0.0,1240.0,3295.8155288183225,-308.80709185566496,158.98394435197238,248.772,258.84014761238257,0.859,1.0114934503000994,0.98,0.02,0.0
rq4_final_triangle_baseline,best_policy_seed_47.pth,best,47,200000,1000,0,0,1,3,1500,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-583.8193075279554,168.26257526702744,67.605,16.080453196349907,0.419,0.493395378981198,1.0,0.0,0.0
rq4_final_triangle_baseline,best_policy_seed_48.pth,best,48,200000,1000,0,0,1,3,1500,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-177.57030886295686,153.3651512439932,71.812,12.458838469135074,0.417,0.4930628763149787,1.0,0.0,0.0
rq4_final_triangle_baseline,best_policy_seed_49.pth,best,49,200000,1000,0,0,1,3,1500,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-390.36514765690015,172.5504977868807,78.065,25.847568067421737,0.412,0.4921950832749145,1.0,0.0,0.0
rq4_final_triangle_baseline,best_policy_seed_50.pth,best,50,200000,1000,0,0,1,3,1500,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-414.3959140634509,142.41589553762967,75.076,17.048818844717662,0.443,0.49674037484384126,1.0,0.0,0.0
rq4_final_triangle_baseline,best_policy_seed_51.pth,best,51,200000,1000,0,0,1,3,1500,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-141.96759455112254,49.705802867120475,83.062,24.341983403165816,0.31,0.462493243193887,1.0,0.0,0.0
rq4_final_triangle_baseline,last_policy_seed_42.pth,last,42,200000,1000,0,0,1,3,1500,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-410.0991790255099,416.7191993641161,115.892,60.80046328770859,0.243,0.42889509206797877,1.0,0.0,0.0
rq4_final_triangle_baseline,last_policy_seed_43.pth,last,43,200000,1000,0,0,1,3,1500,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-555.1065483281435,195.58747807249523,85.093,41.45578790711859,0.387,0.48911246150553145,1.0,0.0,0.0
