experiment,policy,category,training_seed,evaluation_seed,evaluation_episodes,successes,failures,is_continuing,max_cycles_per_episode,max_episode_steps,success_rate,failure_rate,mean_completed_cycles,std_completed_cycles,zero_cycles_rate,exactly_one_cycle_rate,exactly_two_cycles_rate,three_cycles_rate,at_least_one_cycle_rate,at_least_two_cycles_rate,at_least_three_cycles_rate,mean_task_return,std_task_return,mean_environment_return,std_environment_return,mean_episode_length,std_episode_length,mean_dfa_transitions,std_dfa_transitions,terminated_rate,truncated_rate,cycle_cap_rate
rq4_final_triangle_shaped,best_policy_seed_42.pth,best,42,200000,1000,992,0,1,3,1500,0.992,0.0,2.955,0.33011361680488127,0.008,0.009,0.003,0.98,0.992,0.983,0.98,29550.0,3301.136168048813,-217.51873128040998,101.7984954179356,858.249,103.81514821546999,8.89,0.814800589101407,0.02,0.0,0.98
rq4_final_triangle_shaped,best_policy_seed_43.pth,best,43,200000,1000,995,0,1,3,1500,0.995,0.0,2.892,0.3665187580465698,0.005,0.004,0.085,0.906,0.995,0.991,0.906,28920.0,3665.1875804656984,-207.0728153955454,38.898175185277616,1174.379,186.09746736320727,8.808,0.743731134214509,0.005,0.089,0.906
rq4_final_triangle_shaped,best_policy_seed_44.pth,best,44,200000,1000,1000,0,1,3,1500,1.0,0.0,2.957,0.25913509989964695,0.0,0.013,0.017,0.97,1.0,0.987,0.97,29570.0,2591.3509989964696,-217.26605090319717,39.233096210848515,899.939,147.4193789126789,8.928,0.47834715427187396,0.023,0.007,0.97
rq4_final_triangle_shaped,best_policy_seed_45.pth,best,45,200000,1000,999,0,1,3,1500,0.999,0.0,2.993,0.13019600608313608,0.001,0.002,0.0,0.997,0.999,0.997,0.997,29930.0,1301.9600608313606,-178.54478136145585,20.188820989587164,928.058,59.35515677681258,8.985,0.2842094298224463,0.0,0.003,0.997
rq4_final_triangle_shaped,best_policy_seed_46.pth,best,46,200000,1000,999,0,1,3,1500,0.999,0.0,2.997,0.09482088377567467,0.001,0.0,0.0,0.999,0.999,0.999,0.999,29970.0,948.2088377567464,-170.2603282083332,33.3420829900765,922.735,115.21279779173841,8.992,0.25285569006846575,0.001,0.0,0.999
rq4_final_triangle_shaped,best_policy_seed_47.pth,best,47,200000,1000,998,0,1,3,1500,0.998,0.0,2.928,0.3013569312293978,0.002,0.006,0.054,0.938,0.998,0.992,0.938,29280.0,3013.569312293978,-271.8492256917987,45.691241913333755,1113.703,186.12101652150946,8.864,0.6523066763417341,0.011,0.051,0.938
rq4_final_triangle_shaped,best_policy_seed_48.pth,best,48,200000,1000,1000,0,1,3,1500,1.0,0.0,2.981,0.175039995429616,0.0,0.006,0.007,0.987,1.0,0.994,0.987,29810.0,1750.3999542961603,-189.02175934625933,38.57398378229206,917.495,79.87569076383627,8.964,0.37776182972873273,0.01,0.003,0.987
rq4_final_triangle_shaped,best_policy_seed_49.pth,best,49,200000,1000,995,0,1,3,1500,0.995,0.0,2.914,0.3906456194557927,0.005,0.022,0.027,0.946,0.995,0.973,0.946,29140.0,3906.456194557927,-202.70763771732234,56.69983219263746,931.277,172.92349253643934,8.82,0.8784076502399101,0.043,0.011,0.946
rq4_final_triangle_shaped,best_policy_seed_50.pth,best,50,200000,1000,984,0,1,3,1500,0.984,0.0,2.93,0.42555845661906416,0.016,0.01,0.002,0.972,0.984,0.974,0.972,29300.0,4255.584566190642,-174.86696022230853,36.70788496616204,1049.786,136.92589311010536,8.806,1.2134100708334346,0.01,0.018,0.972
rq4_final_triangle_shaped,best_policy_seed_51.pth,best,51,200000,1000,1000,0,1,3,1500,1.0,0.0,2.999,0.03160696125855822,0.0,0.0,0.001,0.999,1.0,1.0,0.999,29990.0,316.06961258558215,-182.82783256420987,25.253302068226684,834.655,59.225045166719795,8.999,0.03160696125855822,0.001,0.0,0.999
rq4_final_triangle_shaped,last_policy_seed_42.pth,last,42,200000,1000,992,0,1,3,1500,0.992,0.0,2.955,0.33011361680488127,0.008,0.009,0.003,0.98,0.992,0.983,0.98,29550.0,3301.136168048813,-217.51873128040998,101.7984954179356,858.249,103.81514821546999,8.89,0.814800589101407,0.02,0.0,0.98
rq4_final_triangle_shaped,last_policy_seed_43.pth,last,43,200000,1000,159,0,1,3,1500,0.159,0.0,0.174,0.4168021113190287,0.841,0.144,0.015,0.0,0.159,0.015,0.0,1740.0,4168.021113190287,-214.51924375217186,65.25587532525945,1492.693,66.41126975897993,2.407,1.2047202994886406,0.017,0.983,0.0
rq4_final_triangle_shaped,last_policy_seed_44.pth,last,44,200000,1000,916,0,1,3,1500,0.916,0.0,2.411,0.9818752466581485,0.084,0.109,0.119,0.688,0.916,0.807,0.688,24110.0,9818.752466581485,-267.3609047373522,125.74320307093998,1072.443,317.9692355417423,7.604,2.5782133348503185,0.197,0.115,0.688
rq4_final_triangle_shaped,last_policy_seed_45.pth,last,45,200000,1000,686,0,1,3,1500,0.686,0.0,0.925,0.7920700726577165,0.314,0.487,0.159,0.04,0.686,0.199,0.04,9250.0,7920.700726577164,-332.5984621410017,185.00236728819746,596.016,318.2664540035597,4.058,2.3217743215049995,0.951,0.009,0.04
rq4_final_triangle_shaped,last_policy_seed_46.pth,last,46,200000,1000,777,0,1,3,1500,0.777,0.0,1.508,0.9674378533011823,0.223,0.166,0.491,0.12,0.777,0.611,0.12,15080.0,9674.378533011823,-363.47768622234827,109.84077833049739,1200.836,385.7530260464589,6.21,2.5775763810215206,0.42,0.46,0.12
