experiment,policy,category,training_seed,evaluation_seed,evaluation_episodes,successes,failures,is_continuing,max_cycles_per_episode,max_episode_steps,success_rate,failure_rate,mean_completed_cycles,std_completed_cycles,zero_cycles_rate,exactly_one_cycle_rate,exactly_two_cycles_rate,three_cycles_rate,at_least_one_cycle_rate,at_least_two_cycles_rate,at_least_three_cycles_rate,mean_task_return,std_task_return,mean_environment_return,std_environment_return,mean_episode_length,std_episode_length,mean_dfa_transitions,std_dfa_transitions,terminated_rate,truncated_rate,cycle_cap_rate
rq4_final_triangle_shaped,best_policy_seed_42.pth,best,42,200000,1000,992,0,1,100000,5000,0.992,0.0,16.045,2.9470281641002343,0.008,0.009,0.003,0.98,0.992,0.983,0.98,160450.0,29470.281641002348,-1022.8265273790299,145.7285248748077,4812.86,790.3938780127286,49.508,8.879298170463699,0.073,0.928,0.0
rq4_final_triangle_shaped,best_policy_seed_43.pth,best,43,200000,1000,995,0,1,100000,5000,0.995,0.0,11.71,1.3542156401400776,0.005,0.0,0.0,0.995,0.995,0.995,0.995,117100.0,13542.156401400776,-888.3868540494595,64.0954714371483,4977.032,324.0256301220631,36.176,3.926961166092682,0.005,0.995,0.0
rq4_final_triangle_shaped,best_policy_seed_44.pth,best,44,200000,1000,1000,0,1,100000,5000,1.0,0.0,14.89,3.833001434907115,0.0,0.013,0.01,0.977,1.0,0.987,0.977,148900.0,38330.01434907115,-968.5102116915972,161.66204981071436,4586.459,1041.4991897831703,45.754,11.112852199143116,0.181,0.819,0.0
rq4_final_triangle_shaped,best_policy_seed_45.pth,best,45,200000,1000,999,0,1,100000,5000,0.999,0.0,15.562,0.9519222657339202,0.001,0.002,0.0,0.997,0.999,0.997,0.997,155620.0,9519.222657339202,-951.5375209639261,40.727532386898844,5000.0,0.0,47.578,2.507970494244301,0.0,1.0,0.0
rq4_final_triangle_shaped,best_policy_seed_46.pth,best,46,200000,1000,999,0,1,100000,5000,0.999,0.0,16.816,0.8013388796258424,0.001,0.0,0.0,0.999,0.999,0.999,0.999,168160.0,8013.388796258422,-950.0340389839071,38.840922198682776,4995.364,146.52987239467583,51.686,2.362922766406046,0.001,0.999,0.0
rq4_final_triangle_shaped,best_policy_seed_47.pth,best,47,200000,1000,1000,0,1,100000,5000,1.0,0.0,12.097,2.87881763924011,0.0,0.001,0.01,0.989,1.0,0.999,0.989,120970.0,28788.1763924011,-1022.7543496792211,151.52743343563418,4612.025,963.0782971155564,37.245,8.584344762414892,0.183,0.817,0.0
rq4_final_triangle_shaped,best_policy_seed_48.pth,best,48,200000,1000,1000,0,1,100000,5000,1.0,0.0,15.47,2.8689893690984634,0.0,0.006,0.007,0.987,1.0,0.994,0.987,154700.0,28689.893690984634,-971.4522865237332,103.57480684552716,4806.06,715.6221855141162,47.398,8.368368777724845,0.091,0.909,0.0
rq4_final_triangle_shaped,best_policy_seed_49.pth,best,49,200000,1000,995,0,1,100000,5000,0.995,0.0,13.735,4.29776395349954,0.005,0.021,0.017,0.957,0.995,0.974,0.957,137350.0,42977.639534995404,-932.2000657284534,201.91011625570812,4427.347,1232.8049913068166,42.25,12.80552615084597,0.233,0.767,0.0
rq4_final_triangle_shaped,best_policy_seed_50.pth,best,50,200000,1000,988,0,1,100000,5000,0.988,0.0,13.837,2.161580671638234,0.012,0.009,0.002,0.977,0.988,0.979,0.977,138370.0,21615.806716382343,-920.5395504711536,73.43182629233624,4954.511,442.56864764576346,42.674,6.514117284790013,0.011,0.989,0.0
rq4_final_triangle_shaped,best_policy_seed_51.pth,best,51,200000,1000,1000,0,1,100000,5000,1.0,0.0,17.821,1.2469799517233624,0.0,0.0,0.001,0.999,1.0,1.0,0.999,178210.0,12469.799517233627,-1003.8869151577276,51.492447466028246,4963.052,314.60319975486584,54.75,3.7115360701466984,0.018,0.982,0.0
