experiment,policy,category,training_seed,evaluation_seed,evaluation_episodes,successes,failures,is_continuing,max_cycles_per_episode,max_episode_steps,success_rate,failure_rate,mean_completed_cycles,std_completed_cycles,zero_cycles_rate,exactly_one_cycle_rate,exactly_two_cycles_rate,three_cycles_rate,at_least_one_cycle_rate,at_least_two_cycles_rate,at_least_three_cycles_rate,mean_task_return,std_task_return,mean_environment_return,std_environment_return,mean_episode_length,std_episode_length,mean_dfa_transitions,std_dfa_transitions,terminated_rate,truncated_rate,cycle_cap_rate
rq4_final_vertical_baseline,best_policy_seed_42.pth,best,42,200000,1000,841,0,1,3,1500,0.841,0.0,0.842,0.3674724479467814,0.159,0.84,0.001,0.0,0.841,0.001,0.0,8420.0,3674.7244794678145,-216.2622113897917,137.32526263963635,104.217,52.67631261772221,1.688,0.7284613922508179,1.0,0.0,0.0
rq4_final_vertical_baseline,best_policy_seed_43.pth,best,43,200000,1000,919,0,1,3,1500,0.919,0.0,0.922,0.27913437624198134,0.081,0.916,0.003,0.0,0.919,0.003,0.0,9220.0,2791.3437624198136,-294.38712733459977,201.0059521719061,118.671,68.321319944802,1.864,0.5113746180639004,1.0,0.0,0.0
rq4_final_vertical_baseline,best_policy_seed_44.pth,best,44,200000,1000,859,0,1,3,1500,0.859,0.0,0.865,0.35885233731996236,0.141,0.853,0.006,0.0,0.859,0.006,0.0,8650.0,3588.5233731996227,-175.2622614821788,142.42587304649888,135.822,79.42122081660543,1.746,0.6953301374167524,1.0,0.0,0.0
rq4_final_vertical_baseline,best_policy_seed_45.pth,best,45,200000,1000,904,0,1,3,1500,0.904,0.0,0.906,0.29860341592151957,0.096,0.902,0.002,0.0,0.904,0.002,0.0,9060.0,2986.0341592151954,-286.27736665409026,176.54126615870038,131.398,79.55189247277528,1.828,0.5678168718874069,1.0,0.0,0.0
rq4_final_vertical_baseline,best_policy_seed_46.pth,best,46,200000,1000,924,0,1,3,1500,0.924,0.0,0.924,0.2649981132008302,0.076,0.924,0.0,0.0,0.924,0.0,0.0,9240.0,2649.9811320083018,-313.9286386628691,112.1697790779886,127.67,90.13318534258067,1.852,0.5197076101039892,1.0,0.0,0.0
rq4_final_vertical_baseline,best_policy_seed_47.pth,best,47,200000,1000,944,0,1,3,1500,0.944,0.0,0.953,0.2505813241245245,0.056,0.935,0.009,0.0,0.944,0.009,0.0,9530.0,2505.813241245245,-214.68787898624106,170.77478628165636,140.219,80.97718838660676,1.912,0.48400000000000004,1.0,0.0,0.0
rq4_final_vertical_baseline,best_policy_seed_48.pth,best,48,200000,1000,929,0,1,3,1500,0.929,0.0,0.93,0.25903667693977234,0.071,0.928,0.001,0.0,0.929,0.001,0.0,9300.0,2590.3667693977236,-268.83303927758953,173.19172251493507,112.789,66.0239235353368,1.868,0.4965641952456903,1.0,0.0,0.0
rq4_final_vertical_baseline,best_policy_seed_49.pth,best,49,200000,1000,943,0,1,3,1500,0.943,0.0,0.954,0.26054558142482476,0.057,0.933,0.009,0.001,0.943,0.01,0.001,9540.0,2605.455814248248,-224.843178294895,103.93571569710947,124.026,76.34784426557177,1.924,0.4798166316417138,0.999,0.0,0.001
rq4_final_vertical_baseline,best_policy_seed_50.pth,best,50,200000,1000,873,0,1,3,1500,0.873,0.0,0.873,0.3329729718760968,0.127,0.873,0.0,0.0,0.873,0.0,0.0,8730.0,3329.729718760969,-301.89650592048804,196.4449694377243,123.999,78.51348291217248,1.782,0.5936968923617505,1.0,0.0,0.0
rq4_final_vertical_baseline,best_policy_seed_51.pth,best,51,200000,1000,929,0,1,3,1500,0.929,0.0,0.934,0.2676639684380399,0.071,0.924,0.005,0.0,0.929,0.005,0.0,9340.0,2676.6396843803986,-277.41270587969234,92.56900841720481,115.689,70.79556680329638,1.872,0.5362984243870198,1.0,0.0,0.0
